x,y
1746,523
169,263
580,282
1649,1621
364,1812
391,339
1239,1554
703,136
1055,1481
267,952
518,215
1193,513
252,1200
1817,1750
1917,1019
1486,1523
1984,455
1464,1167
1918,1793
1415,925
1853,247
24,1992
1210,315
1600,1827
1412,314
900,1449
314,627
451,221
1206,1136
353,1287
903,1724
1790,1485
1019,1951
828,280
1301,1371
736,1538
800,453
606,258
799,1542
238,1179
1737,155
1825,526
114,1553
522,1016
32,715
725,1150
1711,886
290,910
954,1781
1824,396
503,335
450,1998
119,709
886,1249
1048,1423
932,337
746,1165
593,1456
1919,1487
608,519
1717,931
388,1904
1901,248
557,1725
1763,509
1514,1264
1256,373
851,506
620,1045
1405,194
403,1576
202,846
1241,296
1064,919
1157,1443
421,646
137,846
1607,426
470,1430
174,427
1401,30
1156,687
354,164
1367,1537
499,385
1453,1376
909,156
8,245
217,455
445,1301
497,1957
515,1528
867,761
202,1724
1328,623
1730,1187
1020,133
412,70
723,1392
1338,426
922,1979
1238,682
1928,1951
814,1449
1346,1521
1003,1988
1574,1566
842,1632
788,1233
37,405
1146,564
777,166
625,779
1903,259
584,809
1916,331
137,1802
51,548
869,1316
1584,644
1643,562
1564,63
1302,251
1263,1035
1099,437
1305,501
1320,1557
30,1473
1650,679
1968,701
1064,1351
70,990
1465,277
917,311
1007,719
1901,1056
264,119
149,95
1753,1739
734,1462
763,778
454,668
227,1517
1730,1266
1014,1382
1385,275
1957,792
1801,369
369,82
1872,1365
1652,1595
143,308
1790,78
442,180
85,320
209,1682
1617,915
1770,1091
1546,1254
172,258
1047,141
1140,667
219,527
1086,1554
564,1133
140,713
1429,301
1830,1301
470,1507
691,780
715,626
1828,5
805,1516
1753,470
1705,1018
1024,514
200,142
1845,180
1498,929
1838,697
501,1839
1441,1243
521,1609
551,1204
1871,550
821,1345
1503,1889
1781,1776
1402,158
1918,1911
157,903
1755,652
694,1976
1580,360
300,1949
1068,965
266,846
1522,1966
468,369
282,1176
325,1589
788,1700
1346,315
843,121
922,1852
1438,4
1636,97
18,1227
1834,996
1455,1724
1693,712
1973,1500
1954,171
1249,1883
1023,247
681,1423
1659,1104
698,778
237,1514
97,390
21,156
206,1648
1219,1730
1596,95
1607,318
335,1934
359,986
1773,983
789,107
454,850
1043,1888
472,1187
85,149
1408,616
1864,432
1106,709
610,1428
1380,1350
110,1003
913,802
24,276
208,892
1719,116
633,771
2,1210
1930,151
839,417
95,658
380,1468
44,63
1485,924
1616,1659
1716,701
1737,1206
545,1742
732,1844
394,28
451,1329
1103,1533
978,48
1625,1548
960,727
1463,321
1048,1267
740,1893
1031,518
1056,1134
1384,1887
1249,713
1534,171
103,105
205,652
527,885
736,386
413,1311
414,1040
8,1835
1332,378
1226,360
1779,118
119,825
1056,1411
1800,1727
469,403
877,1071
1694,787
141,1117
391,1581
28,1294
1732,1793
996,410
662,1509
1602,829
1830,1033
119,273
246,1276
832,152
338,1640
1357,1504
474,743
1894,11
1557,1742
893,538
482,575
1450,1220
213,778
589,561
1439,1166
696,1603
1426,1127
1147,1533
1216,1176
1740,155
216,40
1148,114
51,1815
639,1617
1619,1982
1999,327
709,1619
1989,1518
717,1922
587,442
1804,665
945,5
1760,191
1574,62
1381,1585
252,1988
228,469
1219,1343
1593,246
18,1391
11,372
1274,1238
1632,317
1056,1035
76,916
811,1463
357,1785
665,243
349,828
886,1525
1637,1313
1434,150
892,1988
121,931
789,1051
222,1435
1159,298
1493,1083
1493,1040
801,1966
254,1386
1748,1864
1594,1667
1970,1265
1090,1449
166,23
404,840
688,1050
1959,1212
455,67
1966,1697
1597,438
456,1654
34,495
1304,1393
1474,913
1724,1005
1750,977
1502,784
101,466
438,616
1309,1855
200,950
1286,1889
197,1134
781,1283
131,92
846,1969
478,123
1407,1794
1220,266
1388,484
445,462
575,304
401,259
498,505
1898,1909
674,531
1782,1555
1503,1364
152,1596
1270,425
787,490
1781,676
1646,522
896,895
406,764
1608,1195
736,613
852,696
568,231
485,923
423,1067
21,1161
1735,1950
1186,1711
1037,1402
1654,515
781,1019
1468,1749
350,194
1906,429
523,1656
970,763
491,1608
1437,797
1471,376
573,1905
1500,1348
1909,58
1921,1615
751,1717
269,1211
1244,163
434,1467
1707,1491
257,1509
138,561
1825,275
618,1874
228,170
1046,1784
954,1798
1480,415
396,432
1651,315
1971,359
47,331
746,1982
624,1396
1434,1665
1463,1219
49,1058
1637,119
1005,695
1017,1531
1295,0
1776,1210
1629,1444
1719,427
1993,1578
968,664
1003,239
735,1339
321,1426
4,8
1370,1095
252,843
852,108
653,1563
798,1722
206,1186
818,1968
1911,1992
489,1787
505,308
179,938
5,1718
452,822
323,453
592,1128
770,1948
1834,1043
1279,1332
1381,1470
272,239
644,1174
474,896
770,1484
1669,850
414,46
1490,898
1926,1645
1402,1505
1806,410
1908,353
1607,378
1382,1646
723,1615
1071,456
1981,701
1668,679
309,461
1435,999
1624,248
135,173
124,1405
578,802
1597,1244
517,80
753,1787
1626,169
796,1552
614,1632
1402,872
1907,1781
1074,909
1316,1438
1528,165
387,1936
609,1127
461,707
1631,252
1991,425
557,1187
1385,64
440,1693
777,1238
1052,1043
1200,117
1395,1032
1412,279
451,1386
1021,467
865,375
991,323
1078,290
1889,307
267,1327
1677,862
1681,127
1687,1331
180,893
159,1877
1122,0
781,1917
457,417
1242,1139
468,106
981,1581
1771,1361
1753,1359
1997,1490
1146,462
730,30
1556,1519
55,618
1717,1102
982,870
326,1360
1853,885
637,1139
896,443
1068,929
269,518
1382,637
1317,273
546,601
713,143
1955,1770
1429,1449
1243,1590
232,71
1464,1380
1319,574
1521,125
1297,1709
1710,964
1876,1480
1531,586
810,931
6,758
1020,1475
1775,1694
1593,1811
69,1246
1654,1813
1712,58
1052,730
149,640
1709,1218
30,1867
480,1350
1226,987
641,1141
382,257
721,862
375,165
1882,1774
496,1786
1365,81
739,1808
1594,1217
595,1683
48,1675
1509,564
454,1468
1370,1958
703,562
451,282
1394,1225
582,1402
676,274
1026,147
531,1027
870,1725
899,431
1424,339
749,1777
311,1961
904,911
1993,503
678,1270
672,1641
159,846
849,973
1597,995
372,1363
1604,281
1641,642
1055,1265
256,701
1529,1834
893,1298
672,1106
78,748
751,420
1482,1657
1268,81
570,175
1330,1048
58,323
45,470
210,1627
1937,66
1282,540
1745,551
178,235
31,84
572,1569
115,1926
89,874
1482,238
1496,1324
712,650
246,1854
755,1378
465,1012
1809,1452
1073,1530
1627,223
1330,1836
728,844
557,974
1256,1646
843,1981
1170,994
859,1913
1040,1740
1292,1589
671,1864
773,1643
1889,1489
932,1119
992,176
1964,1834
132,1646
1785,1980
58,668
1437,1514
1682,1143
905,1082
1187,691
309,1486
1181,1435
1174,958
1999,217
1499,1203
468,1458
746,723
1974,977
710,1755
1047,306
906,398
1884,674
1131,207
391,462
1807,1579
1082,814
1201,1871
236,1025
860,1725
1892,274
1384,1844
1375,120
1367,212
1061,1059
1029,439
1274,273
1181,295
1920,366
1793,398
881,145
889,825
1740,1716
979,1561
1775,1412
247,739
388,1856
380,1154
1495,799
1574,1605
1160,35
107,1278
1690,130
1862,1756
420,1841
1040,408
936,1042
891,929
621,1440
730,592
818,328
1519,707
1357,752
720,1753
1838,1575
383,58
1669,1867
642,632
227,1610
552,1325
1381,1329
1729,107
1913,1717
109,179
838,451
403,1806
1147,1504
207,1405
692,1081
681,1431
304,1256
56,514
167,1055
28,334
1734,1391
862,1861
1216,1425
164,227
1792,828
939,766
1481,1111
352,293
1654,587
1658,1647
333,32
396,820
570,889
907,472
458,564
1031,1091
1015,886
338,130
1291,1087
101,205
21,1512
1630,949
1032,1175
1650,438
1756,739
1884,1289
1782,1617
1614,1224
1890,1326
449,1367
1491,931
195,1823
1017,752
1951,1784
640,1895
419,1516
1328,1667
1728,1551
1354,1897
491,286
1037,1658
732,461
1973,28
623,442
1181,1356
1514,714
916,759
1855,991
1332,1881
1546,1118
542,1434
510,288
721,959
1609,1658
414,633
1367,52
604,228
1908,1967
1386,335
1606,1818
1382,1111
1736,1548
265,524
1137,750
1541,590
701,357
817,1929
1641,43
1671,343
1548,944
1798,1245
299,272
1573,1372
1631,1545
1869,1339
232,767
557,764
1201,862
1992,217
1102,1417
1447,1004
646,1782
410,1785
381,1802
591,1583
372,1505
1919,312
1895,1300
549,20
1501,1598
1231,742
1086,1215
1395,1912
1166,347
673,1001
1336,184
1382,44
1742,1081
1596,1239
1530,1313
1743,372
669,881
1961,1444
732,806
907,230
1822,784
1232,1458
1097,1026
1153,1117
1472,1268
1881,546
906,1859
110,1494
1474,480
747,1056
781,1322
452,57
1529,1965
1937,840
1371,479
1499,1120
1243,40
712,163
1435,713
1893,754
1321,1859
480,1880
854,82
1021,843
74,174
561,94
753,1442
1476,977
636,1358
1053,723
1919,292
1091,925
275,977
1931,869
518,1233
318,1668
490,1282
1974,1591
914,1195
223,952
654,1607
515,1707
548,594
239,1357
1077,1555
740,1461
452,1901
151,504
514,743
1412,109
97,32
1576,1125
1677,1573
989,1945
381,138
1088,54
457,1046
404,1184
1103,1868
433,1645
632,253
172,1194
147,477
824,1078
812,1596
1619,866
366,396
1594,1907
482,1287
893,1641
499,1396
1757,1502
1944,888
117,1525
454,757
1949,524
273,1947
651,755
1917,661
989,1607
804,772
759,662
110,1966
1118,578
596,25
756,437
1321,1009
916,1074
972,710
1259,881
1040,566
469,1995
1716,1058
1402,1137
1685,871
469,526
1707,1851
701,175
927,292
500,435
478,1602
1411,1301
49,1242
525,1106
646,1477
322,588
217,120
804,1375
412,1400
1140,244
463,1231
23,667
171,1381
1742,646
1377,1104
1341,226
231,470
26,1861
250,100
547,431
1132,413
1977,784
1526,1035
1214,508
1340,1684
605,877
250,1948
1127,1289
1301,1338
77,146
284,310
1931,316
1028,1972
1012,1335
722,1327
1665,1288
1481,945
773,375
553,1308
1142,35
111,637
1926,92
669,42
1763,1654
1462,1509
1417,1082
858,794
687,12
1443,1755
1324,1755
1741,703
217,1698
1109,10
424,821
1930,614
1575,448
510,58
1375,428
1335,389
1630,1335
794,1636
737,1807
1919,1012
1764,1515
596,1055
1844,1183
962,507
203,803
1732,900
1689,1951
1830,1888
1519,1040
1167,1050
1187,835
1315,579
1531,962
866,133
772,1169
970,324
720,1572
1481,128
273,1682
671,773
1179,1970
175,185
190,1705
1066,1916
587,1417
961,738
453,625
1441,1893
792,1038
843,1384
1811,910
1719,77
1601,239
1820,103
1470,935
1429,1171
1725,65
464,1513
1886,216
800,102
664,768
87,401
99,661
817,1037
1157,1418
1016,558
1018,1476
1620,697
961,473
1199,1060
1835,401
1181,712
5,1795
456,1031
1944,21
745,1022
843,1993
226,1605
593,29
720,1800
318,526
464,474
1358,861
910,516
1242,1395
1698,334
640,694
525,948
1443,1669
1448,1939
358,780
1039,413
170,606
1739,1849
1145,697
1570,240
1351,750
409,404
1538,1636
798,1366
665,1951
1441,299
1201,755
326,269
616,1309
1853,866
1307,1001
1330,1467
166,816
709,586
227,1875
233,256
1031,299
518,1224
1889,345
1990,1481
1019,314
1358,677
172,1040
450,18
1799,276
1258,863
115,1582
1368,594
136,470
1984,836
1378,1137
1255,192
333,1164
1562,1267
1789,1467
726,62
956,1502
1317,1686
518,681
3,999
871,483
1280,536
142,936
1046,156
1671,261
14,1563
281,811
171,1022
468,43
660,1641
1991,90
470,390
579,1477
1044,150
259,520
158,385
48,1208
41,335
1417,89
1038,1572
1930,1917
1580,1042
751,1862
21,1451
146,15
1530,492
802,941
722,1580
175,625
212,1687
1380,1050
1465,1035
1923,1999
25,866
1571,1379
1322,960
1827,1624
1734,503
1369,1110
1437,1433
1180,1780
1596,511
1204,1886
1772,1501
86,455
248,1711
1314,1416
1550,924
1862,230
1122,621
1009,1428
1647,1164
222,1430
1534,402
869,774
890,742
1922,401
1015,712
225,1371
399,1929
1358,8
1425,1828
1136,1679
1905,766
1668,529
832,1043
1084,505
733,723
1990,459
136,694
32,1146
256,1148
1159,1749
384,1885
77,1986
556,785
238,1079
1651,910
121,378
312,1105
1296,1143
279,627
180,759
1135,1211
1533,911
1603,279
649,1555
1016,386
1997,23
1000,1967
1159,532
1649,348
1105,1659
603,1184
687,420
556,1657
709,121
1631,575
1941,1613
453,312
945,1042
671,1007
1204,616
1920,1201
1120,1911
1177,239
860,1621
679,980
1461,1253
1551,1080
738,1239
1741,727
149,1947
602,311
829,1277
641,133
808,1902
511,1979
1249,641
205,97
272,1670
702,1689
1044,1648
1794,482
1201,495
70,709
